Reference,Qty,Value,Footprint,LCSC Part Number
"C1, C2, C6, C10, C12, C14, C16, C17, C18, C21, C23, C24, C25, C26, C27, C30, C31, C32, C33",19,100n,Capacitor_SMD:C_0402_1005Metric,C307331
"C3, C4, C5, C9, C11, C13, C15, C19, C29, C34",10,2u2,Capacitor_SMD:C_0402_1005Metric,C12530
"C7, C8",2,33p C0G,Capacitor_SMD:C_0402_1005Metric,C1562
"C20, C22",2,10u,Capacitor_SMD:C_0603_1608Metric,C96446
D1,1,LED,LED_SMD:LED_0603_1608Metric,C72043
FB1,1,FB_0603,Inductor_SMD:L_0603_1608Metric,C1002
J1,1,DEBUG_PORT,Connector_JST:JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,C160389
R1,1,5k1,Resistor_SMD:R_0402_1005Metric,C25905
R2,1,1k 1%,Resistor_SMD:R_0402_1005Metric,C11702
"R3, R4",2,27R,Resistor_SMD:R_0402_1005Metric,C25092
R5,1,330R,Resistor_SMD:R_0402_1005Metric,C25104
U1,1,RP2040,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
U2,1,MCP25625T-E_ML,ICDB_Curly:QFN65P600X600X100-29N,C191253
U3,1,XC6206PxxxMR,Package_TO_SOT_SMD:SOT-23-3,C5446
U4,1,W25Q16JVUXIQ_TR,ICDB_Curly:IC_W25Q16JVUXIQ_TR,C2843335
U5,1,SE8650X2-HF,Package_TO_SOT_SMD:SOT-23-3,C496615
U6,1,MAX3232,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,C11317
Y2,1,"12.000 MHz,  C9002 ",Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
